-,-,-,По плану,,-,Изучено и зачтено,,-,-,-
,,,,,,-,,,,
Индекс,Наименование,Семестр,з.е.,Часов,Зачет результатов обучения,з.е.,Часов,Форма контроля,Тип перезачета,Оценка
Б1.О.01,История России,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
,,2,2,72,Перезачтено(полностью),2,72,Экзамен,Перезачтено,Удовлетворительно
Б1.О.02,Критическое мышление,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.03,Безопасность жизнедеятельности,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.04,Основы российской государственности,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.05,Иностранный язык,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
,,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.06,Физическая культура и спорт,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.07,Чтение и мышление,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.08,Креативные индустрии в РФ,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
,,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.09,"Основы бизнеса, маркетинга и этики современных креативных индустрий",1,2,72,Перезачтено(полностью),2,72,Экзамен,Перезачтено,Хорошо
Б1.О.10,Цифровая культура и современные программные средства в креативных индустриях,1,2,72,Перезачтено(полностью),2,72,,,
,,2,2,72,Перезачтено(полностью),2,72,Экзамен,Перезачтено,Удовлетворительно
Б1.О.11,Основы менеджмента,2,4,144,Перезачтено(полностью),4,144,Экзамен,Перезачтено,Хорошо
Б1.О.12,Введение в право,1,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
,,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.13,Основы работы с данными,1,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
,,2,3,108,Перезачтено(полностью),3,108,Экзамен,Перезачтено,Хорошо
Б1.О.14,Экономическая среда бизнеса,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.15,Основы маркетинга,3,2,72,,,,Зачет,,
,,4,2,72,,,,Экзамен,,
Б1.О.16,История и теория в искусстве и дизайне,3,3,108,,,,Зачет,,
,,4,3,108,,,,,,
Б1.О.17,"Генерация, оценка и отбор идей",2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.18,Философия,3,2,72,,,,Зачет,,
Б1.О.19,Правовое регулирование креативных индустрий,3,4,144,,,,Экзамен,,
Б1.О.20,Основы психологии,3,3,108,,,,Зачет,,
,,4,4,144,,,,Экзамен,,
Б1.О.21,Управление проектами,1,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.22,Предпринимательское право,3,2,72,,,,Зачет,,
,,4,2,72,,,,Зачет,,
Б1.О.23,Бизнес-планирование в сфере креативных индустрий,5,4,144,,,,Экзамен,,
Б1.О.24,Основы делового протокола в бизнесе,5,3,108,,,,Зачет,,
Б1.О.25,Иностранный язык в профессиональной коммуникации,3,2,72,,,,Зачет,,
,,4,3,108,,,,Экзамен,,
Б1.О.26,Теория и практика коммуникации,3,2,72,,,,Зачет,,
Б1.О.27,Основы предпринимательства,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.28,Археология и футурология медиа,4,2,72,,,,Зачет,,
Б1.В.01,Основы международного бизнеса,4,4,144,,,,Экзамен,,
Б1.В.02,Фундаментальные принципы маркетинга,3,2,72,,,,Экзамен,,
Б1.В.03,Международный бизнес и маркетинг,3,4,144,,,,Экзамен,,
Б1.В.04,Лидерство и теория организации,4,4,144,,,,Зачет,,
Б1.В.05,Проектный практикум в сфере креативных индустрий,4,5,180,,,,Экзамен,,
Б1.В.06,Цифровой маркетинг,5,4,144,,,,Зачет,,
Б1.В.07,Академическое письмо,7,2,72,,,,Зачет,,
Б1.В.08,Предпринимательство. Стартапы и венчурное финансирование,5,4,144,,,,Экзамен,,
Б1.В.09,Поведение потребителя,5,3,108,,,,Экзамен,,
Б1.В.10,Трендвотчинг в креативных индустриях,5,3,108,,,,Зачет,,
,,6,3,108,,,,Экзамен,,
Б1.В.11,Маркетинговые исследования и ситуационный анализ,5,3,108,,,,Зачет,,
,,6,3,108,,,,Курсовая работа,,
,,,,,,,,Экзамен,,
Б1.В.12,Креативная экономика,6,4,144,,,,Экзамен,,
