-,-,-,По плану,,-,Изучено и зачтено,,-,-,-
,,,,,,-,,,,
Индекс,Наименование,Семестр,з.е.,Часов,Зачет результатов обучения,з.е.,Часов,Форма контроля,Тип перезачета,Оценка
Б1.О.01,Безопасность жизнедеятельности,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.02,История креативных индустрий,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.03,Основы российской государственности,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.04,Цифровая культура,1,3,108,Перезачтено(полностью),3,108,Экзамен,Перезачтено,Хорошо
Б1.О.05,"Основы бизнеса, маркетинга и этики современных креативных индустрий",1,3,108,Перезачтено(полностью),3,108,Экзамен,Перезачтено,Хорошо
Б1.О.06,Международное коммерческое дело,1,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.07,История России,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
,,2,2,72,Перезачтено(полностью),2,72,Экзамен,Перезачтено,Хорошо
Б1.О.08,Физическая культура и спорт,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.09,Основы работы с данными,1,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
,,2,4,144,Перезачтено(полностью),4,144,Экзамен,Перезачтено,Хорошо
Б1.О.10,Теория менеджмента,2,4,144,Перезачтено(полностью),4,144,Экзамен,Перезачтено,Хорошо
Б1.О.11,Современные программные средства в креативных индустриях,2,3,108,Перезачтено(полностью),3,108,Экзамен,Перезачтено,Отлично
Б1.О.12,Экономическая среда бизнеса в сфере креативных индустрий,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.22,Иностранный язык,1,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
,,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
Б1.О.24,Критическое мышление,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.25,Командная работа и лидерство,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.О.27,Финансовая грамотность,2,2,72,Перезачтено(полностью),2,72,Зачет,Перезачтено,Зачет
Б1.В.01,Основы международного бизнеса,1,4,144,Перезачтено(полностью),4,144,Экзамен,Перезачтено,Хорошо
Б1.В.02,Цифровые технологии в маркетинге и бизнесе,1,4,144,Перезачтено(полностью),4,144,Экзамен,Перезачтено,Хорошо
Б1.В.ДЭ.01.01,Элективные дисциплины (модули) по физической культуре и спорту (Общая физическая подготовка),1,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
,,2,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
Б1.В.ДЭ.01.02,Элективные дисциплины (модули) по физической культуре и спорту (настольный теннис),1,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
,,2,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
Б2.О.01.01(У),Профессионально-ознакомительная практика,2,3,108,Перезачтено(полностью),3,108,Зачет,Перезачтено,Зачет
, Итого з.е./акад.часов (без факультативов),,60,2268,,60,2268,", в том числе контактных часов",,
